Lea State,LEA,ID,Sex,Total
ME,Saco Public Schools,2310380,F,92
VA,AMELIA CO PBLC SCHS,5100180,M,168
VA,AMELIA CO PBLC SCHS,5100180,F,152
NH,Epping School District,3302880,M,96
NH,Epping School District,3302880,F,84
CT,WOLCOTT SCHOOL DISTRICT,905280,M,48
CT,WOLCOTT SCHOOL DISTRICT,905280,F,35
VA,DINWIDDIE CO PBLC SCHS,5101170,M,364
VA,DINWIDDIE CO PBLC SCHS,5101170,F,396
SC,Orangeburg 03,4503150,M,216
SC,Orangeburg 03,4503150,F,159
CT,NEW HAVEN SCHOOL DISTRICT,902790,M,1849
CT,NEW HAVEN SCHOOL DISTRICT,902790,F,1800
NH,Mascoma Valley Reg School District,3304680,M,69
NH,Mascoma Valley Reg School District,3304680,F,78
CT,EASTERN CONNECTICUT REGIONAL,901360,M,26
CT,EASTERN CONNECTICUT REGIONAL,901360,F,80
VA,MANASSAS PARK CITY PBLC SCHS,5102390,M,206
VA,MANASSAS PARK CITY PBLC SCHS,5102390,F,185
MA,Amherst,2501890,M,50
MA,Amherst,2501890,F,46
RI,South Kingstown,4401020,M,167
RI,South Kingstown,4401020,F,154
SC,Jasper 01,4502520,M,417
SC,Jasper 01,4502520,F,332
NC,Mitchell County Schools,3703000,M,97
NC,Mitchell County Schools,3703000,F,88
NH,Londonderry School District,3304410,M,209
NH,Londonderry School District,3304410,F,162
ME,RSU 20,2314791,M,69
ME,RSU 20,2314791,F,54
CT,PLAINVILLE SCHOOL DISTRICT,903300,M,89
CT,PLAINVILLE SCHOOL DISTRICT,903300,F,113
MA,West Springfield,2512510,M,289
MA,West Springfield,2512510,F,287
SC,Dorchester 02,4502010,M,2018
SC,Dorchester 02,4502010,F,1783
NH,Hopkinton School District,3303900,M,22
NH,Hopkinton School District,3303900,F,38
NH,Governor Wentworth Reg School District,3303330,M,265
NH,Governor Wentworth Reg School District,3303330,F,237
ME,Yarmouth Schools,2314100,M,61
ME,Yarmouth Schools,2314100,F,72
ME,RSU 71,2314822,M,192
ME,RSU 71,2314822,F,177
SC,Lee 01,4502670,M,184
SC,Lee 01,4502670,F,178
CT,SEYMOUR SCHOOL DISTRICT,903990,M,100
CT,SEYMOUR SCHOOL DISTRICT,903990,F,103
ME,Portland Public Schools,2309930,M,582
ME,Portland Public Schools,2309930,F,579
CT,DANBURY SCHOOL DISTRICT,901020,M,414
CT,DANBURY SCHOOL DISTRICT,901020,F,391
VA,BATH CO PBLC SCHS,5100330,M,33
VA,BATH CO PBLC SCHS,5100330,F,31
NC,Asheboro City Schools,3700240,M,209
NC,Asheboro City Schools,3700240,F,209
NC,Deaf and Blind Schools,3700320,M,16
NC,Deaf and Blind Schools,3700320,F,22
MA,Brookline,2503150,M,292
MA,Brookline,2503150,F,295
MA,Worcester,2513230,M,1865
MA,Worcester,2513230,F,1792
SC,York 03,4503870,M,1105
SC,York 03,4503870,F,1029
MA,Billerica,2502670,M,182
MA,Billerica,2502670,F,191
VA,BUENA VISTA CITY PBLC SCHS,5100560,M,57
VA,BUENA VISTA CITY PBLC SCHS,5100560,F,63
ME,RSU 56,2314833,M,68
ME,RSU 56,2314833,F,85
ME,RSU 50,2314806,M,56
ME,RSU 50,2314806,F,44
CT,NEW HARTFORD SCHOOL DISTRICT,902760,M,7
CT,NEW HARTFORD SCHOOL DISTRICT,902760,F,7
ME,Sanford Public Schools,2310500,M,334
ME,Sanford Public Schools,2310500,F,287
CT,STRATFORD SCHOOL DISTRICT,904440,M,374
CT,STRATFORD SCHOOL DISTRICT,904440,F,419
NC,Beaufort County Schools,3700330,M,618
NC,Beaufort County Schools,3700330,F,531
NH,Dover School District,3302640,M,236
NH,Dover School District,3302640,F,246
CT,NEWTOWN SCHOOL DISTRICT,902910,M,76
CT,NEWTOWN SCHOOL DISTRICT,902910,F,94
SC,Barnwell 19,4501020,M,51
SC,Barnwell 19,4501020,F,42
MA,Auburn,2502220,M,88
MA,Auburn,2502220,F,101
VA,GREENSVILLE CO PBLC SCHS,5101740,M,249
VA,GREENSVILLE CO PBLC SCHS,5101740,F,184
MA,Lowell,2507020,M,1263
MA,Lowell,2507020,F,1095
ME,RSU 41/MSAD 41,2311580,M,75
ME,RSU 41/MSAD 41,2311580,F,67
ME,Gorham Public Schools,2306060,M,98
ME,Gorham Public Schools,2306060,F,87
ME,Machias Public Schools,2307710,M,71
ME,Machias Public Schools,2307710,F,47
ME,RSU 21,2314773,M,102
ME,RSU 21,2314773,F,124
ME,RSU 37/MSAD 37,2311430,M,86
ME,RSU 37/MSAD 37,2311430,F,77
VA,RADFORD CITY PBLC SCHS,5103180,M,79
VA,RADFORD CITY PBLC SCHS,5103180,F,82
NC,Clinton City Schools,3700930,M,171
NC,Clinton City Schools,3700930,F,181
VA,WEST POINT PBLC SCHS,5103950,M,43
VA,WEST POINT PBLC SCHS,5103950,F,48
NC,Hickory City Schools,3702190,M,426
NC,Hickory City Schools,3702190,F,365
CT,HAMDEN SCHOOL DISTRICT,901860,M,359
CT,HAMDEN SCHOOL DISTRICT,901860,F,330
MA,Sandwich,2510470,M,122
MA,Sandwich,2510470,F,106
ME,RSU 03/MSAD 03,2311520,M,181
ME,RSU 03/MSAD 03,2311520,F,161
VA,TAZEWELL CO PBLC SCHS,5103810,M,692
VA,TAZEWELL CO PBLC SCHS,5103810,F,620
CT,NEW LONDON SCHOOL DISTRICT,902820,M,244
CT,NEW LONDON SCHOOL DISTRICT,902820,F,276
NC,Brunswick County Schools,3700420,M,1225
NC,Brunswick County Schools,3700420,F,1077
MA,Ashland,2502100,M,89
MA,Ashland,2502100,F,82
MA,Watertown,2512180,M,125
MA,Watertown,2512180,F,133
CT,VERNON SCHOOL DISTRICT,904680,M,124
CT,VERNON SCHOOL DISTRICT,904680,F,113
CT,COVENTRY SCHOOL DISTRICT,900960,M,73
CT,COVENTRY SCHOOL DISTRICT,900960,F,74
SC,Orangeburg 04,4503180,M,285
SC,Orangeburg 04,4503180,F,253
NH,Shaker Regional School District,3306180,M,120
NH,Shaker Regional School District,3306180,F,95
MA,Attleboro,2502190,M,404
MA,Attleboro,2502190,F,333
SC,York 04,4503900,M,405
SC,York 04,4503900,F,449
ME,Hermon Public Schools,2306510,M,92
ME,Hermon Public Schools,2306510,F,71
MA,Wellesley,2512270,M,228
MA,Wellesley,2512270,F,290
VA,MECKLENBURG CO PBLC SCHS,5102460,M,336
VA,MECKLENBURG CO PBLC SCHS,5102460,F,324
MA,Monson,2508040,M,43
MA,Monson,2508040,F,39
VA,STAUNTON CITY PBLC SCHS,5103690,M,173
VA,STAUNTON CITY PBLC SCHS,5103690,F,153
NH,Manchester School District,3304590,M,2059
NH,Manchester School District,3304590,F,1797
NH,Littleton School District,3304380,M,77
NH,Littleton School District,3304380,F,60
MA,Central Berkshire,2503390,M,72
MA,Central Berkshire,2503390,F,83
ME,RSU 10,2314795,M,234
ME,RSU 10,2314795,F,204
VA,CAMPBELL CO PBLC SCHS,5100600,M,357
VA,CAMPBELL CO PBLC SCHS,5100600,F,356
MA,Ashburnham-Westminster,2502040,M,65
MA,Ashburnham-Westminster,2502040,F,47
NH,White Mountain Regional School District,3307050,M,120
NH,White Mountain Regional School District,3307050,F,120
VA,YORK CO PBLC SCHS,5104150,M,433
VA,YORK CO PBLC SCHS,5104150,F,479
CT,DERBY SCHOOL DISTRICT,901110,M,80
CT,DERBY SCHOOL DISTRICT,901110,F,63
MA,Winchester,2513110,M,115
MA,Winchester,2513110,F,141
MA,Burlington,2503240,M,123
MA,Burlington,2503240,F,132
CT,BOLTON SCHOOL DISTRICT,900360,M,19
CT,BOLTON SCHOOL DISTRICT,900360,F,30
CT,REGIONAL SCHOOL DISTRICT 15,903537,M,79
CT,REGIONAL SCHOOL DISTRICT 15,903537,F,56
VA,SPOTSYLVANIA CO PBLC SCHS,5103640,M,1580
VA,SPOTSYLVANIA CO PBLC SCHS,5103640,F,1427
ME,RSU 17/MSAD 17,2310770,M,345
ME,RSU 17/MSAD 17,2310770,F,274
VA,FLOYD CO PBLC SCHS,5101350,M,91
VA,FLOYD CO PBLC SCHS,5101350,F,80
NC,Iredell-Statesville Schools,3702310,M,1403
