Lea State,LEA,ID,Category,Total
AR,GREEN FOREST SCHOOL DISTRICT,506870,Reported_Race,0
AR,PULASKI CO. SPEC. SCHOOL DIST.,511850,Discplined_Race,0
AR,PULASKI CO. SPEC. SCHOOL DIST.,511850,Reported_Race,0
TX,HARLANDALE ISD,4822470,Discplined_Race,0
TX,HARLANDALE ISD,4822470,Reported_Race,0
TX,WAYSIDE SCHOOLS,4800044,Discplined_Race,0
TX,WAYSIDE SCHOOLS,4800044,Reported_Race,0
TX,JOSHUA ISD,4824930,Discplined_Race,0
TX,JOSHUA ISD,4824930,Reported_Race,0
LA,Red River Parish,2201320,Discplined_Race,0
LA,Red River Parish,2201320,Reported_Race,0
TX,HORIZON MONTESSORI PUBLIC SCHOOLS,4800065,Discplined_Race,0
TX,HORIZON MONTESSORI PUBLIC SCHOOLS,4800065,Reported_Race,0
MS,NORTH BOLIVAR CONS SCHOOL DIST,2800186,Discplined_Race,0
MS,NORTH BOLIVAR CONS SCHOOL DIST,2800186,Reported_Race,0
MS,LINCOLN COUNTY SCHOOL DISTRICT,2802640,Discplined_Race,1
MS,LINCOLN COUNTY SCHOOL DISTRICT,2802640,Reported_Race,2
