ID,Category,Total
900330,Referral to law enforcement,9
5000398,Expulsions with educational services,0
5000398,Referral to law enforcement,7
2513080,Expulsions with educational services,0
2513080,Referral to law enforcement,2
2311010,Expulsions with educational services,1
2311010,Referral to law enforcement,1
905250,Expulsions with educational services,4
905250,Referral to law enforcement,4
3306080,Expulsions with educational services,1
3306080,Referral to law enforcement,10
4401050,Expulsions with educational services,0
4401050,Referral to law enforcement,0
2506300,Expulsions with educational services,0
2506300,Referral to law enforcement,0
900450,Expulsions with educational services,43
900450,Referral to law enforcement,32
902790,Expulsions with educational services,16
902790,Referral to law enforcement,55
2509060,Expulsions with educational services,0
2509060,Referral to law enforcement,0
2509900,Expulsions with educational services,0
2509900,Referral to law enforcement,2
2506840,Expulsions with educational services,0
2506840,Referral to law enforcement,0
902670,Expulsions with educational services,8
902670,Referral to law enforcement,62
2513050,Expulsions with educational services,0
2513050,Referral to law enforcement,1
903840,Expulsions with educational services,0
903840,Referral to law enforcement,0
903450,Expulsions with educational services,1
903450,Referral to law enforcement,3
2505160,Expulsions with educational services,0
2505160,Referral to law enforcement,0
2502715,Expulsions with educational services,0
2502715,Referral to law enforcement,0
3304040,Expulsions with educational services,0
3304040,Referral to law enforcement,7
2501650,Expulsions with educational services,0
2501650,Referral to law enforcement,9
2314833,Expulsions with educational services,0
2314833,Referral to law enforcement,3
903180,Expulsions with educational services,1
903180,Referral to law enforcement,1
2504890,Expulsions with educational services,0
2504890,Referral to law enforcement,0
902820,Expulsions with educational services,1
902820,Referral to law enforcement,6
